m_res,m_mut,fitness
3.0888435964774785e-06,3.906939937054621e-05,0.0013737022300490465
3.0888435964774785e-06,5.1794746792312125e-05,0.0016652587864697708
3.0888435964774785e-06,6.866488450042999e-05,0.001977087072032638
3.0888435964774785e-06,9.102981779915228e-05,0.002312663588051511
3.0888435964774785e-06,0.00012067926406393288,0.0026766173661052187
3.0888435964774785e-06,0.00015998587196060574,0.003073006186370647
3.0888435964774785e-06,0.00021209508879201905,0.0035039734131599404
3.0888435964774785e-06,0.0002811768697974231,0.0039696831291087635
3.0888435964774785e-06,0.0003727593720314938,0.004468818353053756
3.0888435964774785e-06,0.0004941713361323833,0.00499858549941016
3.0888435964774785e-06,0.0006551285568595509,0.0055540950069724844
3.0888435964774785e-06,0.000868511373751352,0.006127520454380451
3.0888435964774785e-06,0.0011513953993264468,0.006708452913984977
3.0888435964774785e-06,0.0015264179671752333,0.007285256649821516
3.0888435964774785e-06,0.0020235896477251575,0.007845298437095088
3.0888435964774785e-06,0.0026826957952797246,0.008374832616311452
3.0888435964774785e-06,0.0035564803062231283,0.008859626225413666
3.0888435964774785e-06,0.004714866363457394,0.009285081656826958
3.0888435964774785e-06,0.0062505519252739694,0.009635048501908702
3.0888435964774785e-06,0.008286427728546842,0.009890168002912815
3.0888435964774785e-06,0.010985411419875572,0.010026541197734043
3.0888435964774785e-06,0.014563484775012445,0.010014571871092701
3.0888435964774785e-06,0.019306977288832496,0.009818436326618298
3.0888435964774785e-06,0.025595479226995333,0.009397748606938771
3.0888435964774785e-06,0.0339322177189533,0.008714532194961343
3.0888435964774785e-06,0.04498432668969444,0.00775026109914449
3.0888435964774785e-06,0.059636233165946365,0.0065361032252847645
3.0888435964774785e-06,0.07906043210907701,0.005187771390339341
3.0888435964774785e-06,0.10481131341546852,0.003897938536195291
3.0888435964774785e-06,0.1389495494373136,0.002826736549732056
3.0888435964774785e-06,0.18420699693267165,0.0019895277472408586
3.0888435964774785e-06,0.244205309454865,0.001296912894209812
3.0888435964774785e-06,0.323745754281764,0.0006461336250140198
3.0888435964774785e-06,0.42919342601287785,-4.81537996940656e-05
3.0888435964774785e-06,0.5689866029018293,-0.0008602072953718244
3.0888435964774785e-06,0.7543120063354607,-0.001865140689817474
3.0888435964774785e-06,1.0,-0.0031492436190869505
4.094915062380427e-06,1e-06,3.127201333269227e-07
4.094915062380427e-06,1.325711365590108e-06,2.7721278177402756e-07
4.094915062380427e-06,1.757510624854793e-06,2.0726345282189861e-07
4.094915062380427e-06,2.3299518105153717e-06,-4.6812937141230846e-08
4.094915062380427e-06,3.0888435964774785e-06,-1.2680744734579914e-06
4.094915062380427e-06,4.094915062380427e-06,0
4.094915062380427e-06,5.428675439323859e-06,-1.4184335877164326e-05
4.094915062380427e-06,7.196856730011514e-06,-1.3729103091489798e-05
4.094915062380427e-06,9.540954763499944e-06,5.5974198523518543e-05
4.094915062380427e-06,1.2648552168552958e-05,0.0002130601065881732
4.094915062380427e-06,1.67683293681101e-05,0.00040037923613916705
4.094915062380427e-06,2.2229964825261955e-05,0.0006131613769450503
4.094915062380427e-06,2.94705170255181e-05,0.0008484754606548001
4.094915062380427e-06,3.906939937054621e-05,0.0011043542084858595
4.094915062380427e-06,5.1794746792312125e-05,0.0013799494437740296
4.094915062380427e-06,6.866488450042999e-05,0.0016755931210379986
4.094915062380427e-06,9.102981779915228e-05,0.001993391895182415
