ID,suffix,layout,f,c,r,KL,h,KS_mean,p_cat,m_res2_ss,lo_disp_popsize,hi_disp_popsize
107,_1,circular,0.2,0.01,0.1,500,5,30,0.0014,0.03826618194580078,258.7626397477319,241.5778008208272
108,_1,circular,0.2,0.01,0.1,500,5,30,0.0015,0.03991508483886719,259.14639537161815,241.22963204421362
109,_1,circular,0.2,0.01,0.1,500,5,30,0.0016,0.041534423828125,259.5321943830417,240.88080825457604
110,_1,circular,0.2,0.01,0.1,500,5,30,0.0017,0.04332447052001953,259.96883958906375,240.48737284511802
111,_1,circular,0.2,0.01,0.1,500,5,30,0.0018,0.044795989990234375,260.33621649372645,240.15737696053228
112,_1,circular,0.2,0.01,0.1,500,5,30,0.0019,0.04639720916748047,260.7441063794507,239.7920034157361
113,_1,circular,0.2,0.01,0.1,500,5,30,0.002,0.04784393310546875,261.1201223766667,239.45602203338888
72,_1,circular,0.2,0.01,0.15,500,5,30,0.0005,0.02142810821533203,254.1751409190912,245.85947634513911
73,_1,circular,0.2,0.01,0.25,500,5,30,0.0005,0.024505615234375,253.51145820398932,246.50316136075716
74,_1,circular,0.2,0.01,0.3,500,5,30,0.0005,0.02559375762939453,253.3386715244588,246.67200799804561
75,_1,circular,0.2,0.01,0.35,500,5,30,0.0005,0.026502609252929688,253.21283323275952,246.79533430281194
76,_1,circular,0.2,0.01,0.4,500,5,30,0.0005,0.02727699279785156,253.11687577042738,246.88958589649206
77,_1,circular,0.2,0.01,0.45,500,5,30,0.0005,0.02794885635375977,253.04113654289262,246.9641106489055
78,_1,circular,0.2,0.01,0.55,500,5,30,0.0005,0.029062271118164062,252.9289398370899,247.074727993743
79,_1,circular,0.2,0.01,0.6,500,5,30,0.0005,0.029531478881835938,252.88613965566722,247.1169964641416
80,_1,circular,0.2,0.01,0.65,500,5,30,0.0005,0.02995586395263672,252.8495623012897,247.15315105561166
81,_1,circular,0.2,0.01,0.7,500,5,30,0.0005,0.030340671539306637,252.81793368828644,247.184437742414
82,_1,circular,0.2,0.01,0.75,500,5,30,0.0005,0.03069305419921875,252.79028776956352,247.21180303114798
83,_1,circular,0.2,0.01,0.8,500,5,30,0.0005,0.03101634979248047,252.76591232894802,247.23594520069074
84,_1,circular,0.2,0.01,0.85,500,5,30,0.0005,0.031314849853515625,252.74424704015343,247.2574144094588
85,_1,circular,0.2,0.01,0.9,500,5,30,0.0005,0.03159141540527344,252.72485780347444,247.27663719502607
86,_1,circular,0.2,0.01,0.95,500,5,30,0.0005,0.03184795379638672,252.70740258452392,247.29394987048528
87,_1,circular,0.2,0.01,1.1,500,5,30,0.0005,0.03252220153808594,252.66406787749384,247.3369610194837
88,_1,circular,0.2,0.01,1.2,500,5,30,0.0005,0.03290748596191406,252.6408870587223,247.35998664311987
89,_1,circular,0.2,0.01,1.3,500,5,30,0.0005,0.03325080871582031,252.62109327693412,247.37965780639408
90,_1,circular,0.2,0.01,1.4,500,5,30,0.0005,0.03355884552001953,252.6039858836669,247.3966666013051
91,_1,circular,0.2,0.01,1.6,500,5,30,0.0005,0.03409385681152344,252.5758629708605,247.4246424647298
92,_1,circular,0.2,0.01,1.7,500,5,30,0.0005,0.03432655334472656,252.5641757003621,247.43627410036527
93,_1,circular,0.2,0.01,1.8,500,5,30,0.0005,0.03453826904296875,252.55374533172056,247.44665750285438
94,_1,circular,0.2,0.01,1.9,500,5,30,0.0005,0.034735679626464844,252.54433805321955,247.45602468610707
95,_1,circular,0.2,0.21,0.1,500,5,30,0.0005,0.0022599797703598077,307.4690937934756,192.5484416211753
96,_1,circular,0.2,0.23,0.1,500,5,30,0.0005,0.002140883995803576,312.4582596140381,187.5582876512455
97,_1,circular,0.2,0.25,0.1,500,5,30,0.0005,0.0020382563349143003,317.4354605206573,182.58019699778907
98,_1,circular,0.2,0.27,0.1,500,5,30,0.0005,0.0019487223381533464,322.40245245867516,177.61239678590215
